Category,Department,Keywords,Severity
Drug-Related Offenses,Chief of Narcotics Control,"sketchy behavior, drug activity, trafficking, drug conspiracy",High
Theft,Directorate of Police,"petty theft, made off with, disappeared with, broke in and took, stolen package",Low
Fraud,Head of Financial Crimes Unit,"embezzlement, tech support scam, loan fraud, pretending to be",High
Drug-Related Offenses,Chief of Narcotics Control,"drug money, drug laboratory, prescription drugs",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drugs, illegal prescription, suspicious packages, sketchy behavior",Medium
Assault,Commissioner of Law Enforcement,"threatening, physical harassment, workplace violence",Medium
Drug-Related Offenses,Chief of Narcotics Control,"crack house, substance abuse, street drugs",Low
Theft,Directorate of Police,"grand theft, disappeared with, break-in",Low
Assault,Commissioner of Law Enforcement,"beat me up, violent outburst, shoved me",High
Theft,Directorate of Police,"steal, commercial burglary, break-in, laptop stolen, snatched",High
Drug-Related Offenses,Chief of Narcotics Control,"crystal meth, narcotic sales, drug money, drug paraphernalia, drug dealing",Critical
Theft,Directorate of Police,"stole from me, purse snatching, stolen property, car gone, broke into my house, emptied my",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug conspiracy, drug addiction, needles found, illegal prescriptions, drug distribution, drug paraphernalia",High
Fraud,Head of Financial Crimes Unit,"investment scam, too good to be true, unauthorized purchase, fake company",High
Assault,Commissioner of Law Enforcement,"knocked me down, unprovoked attack, school violence, getting physical",Low
Fraud,Head of Financial Crimes Unit,"cheating, embezzlement, social security fraud",Medium
Theft,Directorate of Police,"taken from my car, lifted my wallet, pickpocket",High
Cybercrime,Head of Cyber Crime Bureau,"breach, computer virus, cyber bullying, cyber attack, internet scam, computer virus",Medium
Assault,Commissioner of Law Enforcement,"violent behavior, ganged up on, domestic violence, attacked me, came at me, physical harassment",Critical
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, street drugs, suspicious visitors",Medium
Assault,Commissioner of Law Enforcement,"attack, aggravated assault, got jumped",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug money, lots of traffic, drug activity, illegal substances, drug paraphernalia, strange odors",Critical
Fraud,Head of Financial Crimes Unit,"medicare fraud, pyramid scheme, ponzi scheme, check fraud, money laundering, ripped off",Medium
Assault,Commissioner of Law Enforcement,"physical threat, bodily harm, physical harassment, workplace violence",Low
Fraud,Head of Financial Crimes Unit,"tax fraud, fake website, mail fraud",High
Assault,Commissioner of Law Enforcement,"threatened to hurt, physical harassment, domestic violence",Low
Theft,Directorate of Police,"property theft, emptied my, grand theft",Medium
Fraud,Head of Financial Crimes Unit,"ponzi scheme, lottery scam, phone scam",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug money, street drugs, drug laboratory, pills for sale",Critical
Theft,Directorate of Police,"retail theft, break-in, catalytic converter theft, stolen from my yard",Low
Assault,Commissioner of Law Enforcement,"started swinging, hit, physical injury, school violence",Medium
Assault,Commissioner of Law Enforcement,"throwing things, getting in my face, knocked me down, unprovoked attack",Critical
Fraud,Head of Financial Crimes Unit,"real estate fraud, mail fraud, medicare fraud, fake email, tax fraud",Medium
Fraud,Head of Financial Crimes Unit,"insurance scam, counterfeit, tech support scam, identity stolen, fraudulent documents, embezzlement",Critical
Theft,Directorate of Police,"car gone, lifted my wallet, storage unit theft, stole from me",Low
Fraud,Head of Financial Crimes Unit,"took my money, money transfer scam, identity theft, internet fraud, gift card scam, tech support scam",Low
Fraud,Head of Financial Crimes Unit,"ripped off, healthcare fraud, card got charged",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber stalking, phone hacked, breach, internet scam, cyber terrorism",Critical
Fraud,Head of Financial Crimes Unit,"identity stolen, fake currency, pyramid scheme, money laundering, insurance scam",High
Assault,Commissioner of Law Enforcement,"roughed up, jumped me, street fight",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug enforcement, drug cultivation, illegal substances, drug money, drug activity",High
Cybercrime,Head of Cyber Crime Bureau,"database breach, cyber bullying, weird emails",High
Assault,Commissioner of Law Enforcement,"got jumped, physical abuse, violent confrontation, fight, threw punches, getting violent",Low
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, possession, drug money",High
Theft,Directorate of Police,"storage unit theft, cash stolen, nicked my",Medium
Drug-Related Offenses,Chief of Narcotics Control,"heroin, sketchy behavior, drug dealing",Medium
Fraud,Head of Financial Crimes Unit,"unauthorized purchase, pyramid scheme, fake website, money disappeared, wire fraud",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber attack, hacked, identity stolen online, website defacement",Medium
Theft,Directorate of Police,"shoplifting, missing, package theft",Critical
Assault,Commissioner of Law Enforcement,"got jumped, started swinging, school violence, attack",Low
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, online harassment, password stolen, online threats, online stalking, password theft",Low
Drug-Related Offenses,Chief of Narcotics Control,"people coming and going, drug overdose, drug dealing, dealing from car, suspicious transactions, drug manufacturing",Critical
Cybercrime,Head of Cyber Crime Bureau,"email hacked, hacked, account hacked, social media hack",Critical
Fraud,Head of Financial Crimes Unit,"bank scam, social security fraud, fake currency, counterfeit, internet fraud",High
Cybercrime,Head of Cyber Crime Bureau,"strange messages, botnet attack, cyber fraud, internet fraud, cyber extortion",High
Theft,Directorate of Police,"broke into my house, burglary, vehicle break-in",Medium
Assault,Commissioner of Law Enforcement,"threatening, getting violent, physical intimidation",Low
Cybercrime,Head of Cyber Crime Bureau,"internet fraud, email scam, spyware, webcam hacked",Critical
Fraud,Head of Financial Crimes Unit,"financial deception, fake investment, romance scam, investment scam, mail fraud",Medium
Cybercrime,Head of Cyber Crime Bureau,"account compromised, identity stolen online, email scam, email hacked",High
Fraud,Head of Financial Crimes Unit,"healthcare fraud, tax fraud, fraud, phone scam, credit fraud",Critical
Assault,Commissioner of Law Enforcement,"punch, beaten, physical intimidation, physical abuse, ganged up on",Critical
Drug-Related Offenses,Chief of Narcotics Control,"people coming and going, drug dealing, drug related, crack cocaine, prescription drugs, possession",Low
Drug-Related Offenses,Chief of Narcotics Control,"people coming and going, suspicious transactions, drug paraphernalia",Critical
Drug-Related Offenses,Chief of Narcotics Control,"dealing from car, pharmaceutical theft, drug related, marijuana, drug activity",High
Cybercrime,Head of Cyber Crime Bureau,"cyber extortion, social media scam, breach",Low
Theft,Directorate of Police,"purse snatching, package theft, bike gone, ran off with, theft from vehicle",High
Drug-Related Offenses,Chief of Narcotics Control,"prescription drugs, illegal prescription, ecstasy",High
Fraud,Head of Financial Crimes Unit,"securities fraud, fake job offer, telemarketing fraud",Medium
Fraud,Head of Financial Crimes Unit,"fraudulent documents, wire fraud, healthcare fraud, suspicious charge",High
Theft,Directorate of Police,"pinched my, broke into my house, smartphone theft, car gone",High
Theft,Directorate of Police,"nicked my, shoplifting, car gone, auto theft, property theft, cash stolen",Low
Theft,Directorate of Police,"missing from my porch, property theft, lifted my wallet, retail theft, items missing, car theft",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, illegal prescriptions, crystal meth, ecstasy",Medium
Fraud,Head of Financial Crimes Unit,"fake job offer, phone scam, credit card",High
Assault,Commissioner of Law Enforcement,"violent outburst, physical abuse, unprovoked attack",Medium
Assault,Commissioner of Law Enforcement,"physical threat, physical abuse, came at me, assault and battery, beat me up",High
Theft,Directorate of Police,"stole from me, car gone, cash stolen, took my stuff, larceny, smartphone theft",Critical
Drug-Related Offenses,Chief of Narcotics Control,"strange odors, suspicious transactions, trafficking, ecstasy, weird smell",Low
Drug-Related Offenses,Chief of Narcotics Control,"street drugs, methamphetamine, narcotics, cocaine, substance abuse, sketchy behavior",High
Assault,Commissioner of Law Enforcement,"violence, violent confrontation, beat me up, violent behavior, came at me",Medium
Cybercrime,Head of Cyber Crime Bureau,"social media hack, suspicious login, cyber fraud, bitcoin scam",High
Drug-Related Offenses,Chief of Narcotics Control,"drug conspiracy, heroin, drug overdose, illegal prescriptions",Low
Assault,Commissioner of Law Enforcement,"physical injury, threw punches, getting physical, battery, pushed me around",Medium
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, fentanyl, drug addiction, drug overdose",Critical
Assault,Commissioner of Law Enforcement,"domestic violence, picked a fight, aggressive behavior, coming after me, bar fight",High
Theft,Directorate of Police,"stolen from my yard, vehicle break-in, took everything, stole from me, petty theft, shoplifting",High
Assault,Commissioner of Law Enforcement,"ganged up on, got jumped, violent attack",Low
Cybercrime,Head of Cyber Crime Bureau,"suspicious login, email hacked, cryptocurrency scam, identity breach, pop-up scam, credential theft",Low
Assault,Commissioner of Law Enforcement,"physical altercation, threatened to hurt, assault and battery",High
Theft,Directorate of Police,"shoplifting, missing, car theft",Critical
Theft,Directorate of Police,"pinched my, retail theft, commercial burglary, nicked my, ran off with, bike theft",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug sale, drug paraphernalia, drug related, synthetic drugs",Medium
Drug-Related Offenses,Chief of Narcotics Control,"pharmaceutical theft, prescription drugs, needles found, strange odors, drug distribution, sketchy behavior",Medium
Drug-Related Offenses,Chief of Narcotics Control,"sketchy behavior, drug meetup, dealing drugs, lots of traffic, suspicious visitors, strange odors",High
Cybercrime,Head of Cyber Crime Bureau,"social media scam, cyber attack, phone hacked",Critical
Fraud,Head of Financial Crimes Unit,"forgery, false promises, identity stolen",Low
Theft,Directorate of Police,"took everything, lifted my wallet, missing from my porch, larceny",High
Theft,Directorate of Police,"took everything, smartphone theft, bike gone, items missing, stolen from my yard, property theft",Critical
Cybercrime,Head of Cyber Crime Bureau,"online impersonation, online scam, cyber espionage, pop-up scam, account compromised",High
Drug-Related Offenses,Chief of Narcotics Control,"sketchy behavior, illegal prescriptions, drug related",Low
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, fake profile, online scam, malware, cyber terrorism, social media hack",Critical
Assault,Commissioner of Law Enforcement,"got attacked, violent confrontation, getting physical",Critical
Theft,Directorate of Police,"smartphone theft, took my stuff, bike gone",Medium
Drug-Related Offenses,Chief of Narcotics Control,"sketchy behavior, methamphetamine, people coming and going, drug money, drug exchanges, late night activity",Medium
Fraud,Head of Financial Crimes Unit,"social security fraud, money transfer scam, investment scam",Low
Cybercrime,Head of Cyber Crime Bureau,"cyberstalking, password stolen, cyber security breach, social media hack, online impersonation, strange messages",Low
Fraud,Head of Financial Crimes Unit,"ripped off, fake job offer, loan fraud, pretending to be",Medium
Theft,Directorate of Police,"emptied my, grabbed my, went missing from, broke in and took",High
Assault,Commissioner of Law Enforcement,"got jumped, weapon assault, knocked me down, brutal attack, gang violence",Medium
Fraud,Head of Financial Crimes Unit,"forgery, identity fraud, unauthorized purchase, pyramid scheme, lottery scam",Medium
Cybercrime,Head of Cyber Crime Bureau,"website defacement, spam emails, digital extortion, denial of service, social media hack, computer infected",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug addiction, substance abuse, prescription drugs, drug conspiracy, drug activity, drug cartel",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, crypto scam, password theft, cyber espionage, spyware",Medium
Assault,Commissioner of Law Enforcement,"physical threat, threatened to hurt, got attacked, threw punches, bodily harm",High
Cybercrime,Head of Cyber Crime Bureau,"webcam hacked, database breach, keylogger, weird emails, malware",Medium
Theft,Directorate of Police,"smartphone theft, stolen package, laptop stolen, stole from me, retail theft, missing",Medium
Cybercrime,Head of Cyber Crime Bureau,"tech support scam, online harassment, fake profile, network intrusion",Low
Theft,Directorate of Police,"emptied my, cash stolen, theft from vehicle, petty theft, robbed",Low
Assault,Commissioner of Law Enforcement,"roughed up, violent confrontation, physical injury, violent behavior, road rage incident",Critical
Fraud,Head of Financial Crimes Unit,"counterfeit, check fraud, lottery scam",Medium
Assault,Commissioner of Law Enforcement,"started swinging, roughed up, bar fight, threw punches",Low
Drug-Related Offenses,Chief of Narcotics Control,"narcotic sales, street drugs, pills for sale, drugs, crack house",Low
Cybercrime,Head of Cyber Crime Bureau,"computer virus, trojan horse, online threats",Medium
Assault,Commissioner of Law Enforcement,"violent attack, beaten, violence, physical threat, hit",Medium
Theft,Directorate of Police,"made off with, disappeared with, cleaned out my, theft, petty theft, package theft",Low
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, phishing, cryptocurrency scam, cyber stalking",Medium
Assault,Commissioner of Law Enforcement,"physical injury, physical harassment, workplace violence, violent behavior, coming after me, throwing things",Medium
Assault,Commissioner of Law Enforcement,"getting in my face, getting physical, picked a fight",High
Theft,Directorate of Police,"break-in, stolen property, shoplifting",Critical
Fraud,Head of Financial Crimes Unit,"corporate fraud, real estate fraud, cheating, gift card scam",Medium
Assault,Commissioner of Law Enforcement,"getting threatening, domestic violence, unprovoked attack, punch, getting physical",Medium
Cybercrime,Head of Cyber Crime Bureau,"hacking incident, email compromise, database breach",Low
Theft,Directorate of Police,"taken from my car, break-in, commercial burglary, residential burglary, cleaned out my, catalytic converter theft",Critical
Assault,Commissioner of Law Enforcement,"physical threat, attack, getting in my face",High
Cybercrime,Head of Cyber Crime Bureau,"fake profile, social engineering, computer virus, phishing, email hacked",Critical
Cybercrime,Head of Cyber Crime Bureau,"digital theft, suspicious login, social media scam, denial of service",Medium
Assault,Commissioner of Law Enforcement,"physical intimidation, street fight, violent attack, threatened to hurt, jumped me",High
Fraud,Head of Financial Crimes Unit,"ripped off, payment fraud, embezzlement, fake email",High
Drug-Related Offenses,Chief of Narcotics Control,"dealing from car, crystal meth, drug overdose",Medium
Cybercrime,Head of Cyber Crime Bureau,"website defacement, online harassment, botnet attack, cyber extortion, webcam hacked",Low
Drug-Related Offenses,Chief of Narcotics Control,"possession, ecstasy, prescription drugs, crystal meth, drug house, drug money",Low
Fraud,Head of Financial Crimes Unit,"social security fraud, identity fraud, unauthorized purchase, mail fraud, advance fee fraud",Low
Fraud,Head of Financial Crimes Unit,"insurance fraud, telemarketing fraud, securities fraud, mortgage fraud, strange transaction",High
Assault,Commissioner of Law Enforcement,"beaten, jumped me, physical injury, street fight",High
Assault,Commissioner of Law Enforcement,"roughed up, trying to fight, gang violence, hit, bar fight",Medium
Assault,Commissioner of Law Enforcement,"unprovoked attack, beaten, threw punches, acting aggressive, ganged up on",High
Fraud,Head of Financial Crimes Unit,"money transfer scam, real estate fraud, lottery scam, securities fraud, corporate fraud",Critical
Drug-Related Offenses,Chief of Narcotics Control,"crystal meth, psychedelic drugs, heroin, suspicious packages",Medium
Fraud,Head of Financial Crimes Unit,"investment fraud, gift card scam, tech support scam, cheating",High
Cybercrime,Head of Cyber Crime Bureau,"data leak, weird emails, digital extortion, social media hack, cyber threat",Medium
Assault,Commissioner of Law Enforcement,"assault with weapon, getting in my face, weapon assault, bar fight, hit, ganged up on",High
Assault,Commissioner of Law Enforcement,"violence, beaten, street fight",Low
Theft,Directorate of Police,"pickpocket, disappeared with, car theft, porch pirate, missing",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, credential theft, tech support scam, cyber terrorism, fake profile",High
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, credential theft, suspicious activity online, cyber espionage, cyber fraud",Low
Theft,Directorate of Police,"broke into my house, stolen from my yard, took my stuff, porch pirate",Critical
Fraud,Head of Financial Crimes Unit,"securities fraud, took my money, loan fraud",Critical
Fraud,Head of Financial Crimes Unit,"credit card skimming, credit fraud, social security fraud, suspicious call",Medium
Theft,Directorate of Police,"steal, pickpocket, vehicle break-in, ran off with, taken from my car",High
Cybercrime,Head of Cyber Crime Bureau,"spyware, tech support scam, online scam, account hacked, ransomware",Low
Theft,Directorate of Police,"retail theft, pinched my, taken from my car, storage unit theft, grabbed my",High
Theft,Directorate of Police,"stealing, residential burglary, stolen package, vehicle break-in",Medium
Theft,Directorate of Police,"nicked my, went missing from, car gone, storage unit theft, auto theft",Medium
Theft,Directorate of Police,"taken from my car, bike gone, ransacked, theft from vehicle, pinched my",Low
Assault,Commissioner of Law Enforcement,"beaten, coming after me, roughed up, punch",Critical
Cybercrime,Head of Cyber Crime Bureau,"online stalking, suspicious activity online, cyber terrorism, account hacked",High
Drug-Related Offenses,Chief of Narcotics Control,"pills for sale, crack house, drug conspiracy, fentanyl",High
Drug-Related Offenses,Chief of Narcotics Control,"lots of traffic, drug cultivation, strange odors, fentanyl",High
Theft,Directorate of Police,"shoplifting, vehicle break-in, ransacked, grabbed my",Medium
Drug-Related Offenses,Chief of Narcotics Control,"fentanyl, dealing drugs, constant visitors",Medium
Fraud,Head of Financial Crimes Unit,"credit card, fake website, telemarketing fraud, phone scam, corporate fraud, fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"spyware, email hacked, email scam",High
Fraud,Head of Financial Crimes Unit,"pyramid scheme, mortgage fraud, strange transaction, securities fraud",Low
Theft,Directorate of Police,"theft, stole from me, lifted my wallet, grand theft",Critical
Theft,Directorate of Police,"nicked my, car gone, cash stolen, stole from me, commercial burglary",High
Drug-Related Offenses,Chief of Narcotics Control,"illegal substances, psychedelic drugs, crack cocaine, crystal meth, suspicious transactions",Medium
Drug-Related Offenses,Chief of Narcotics Control,"narcotic sales, dealing drugs, strange odors, constant visitors, drugs",High
Theft,Directorate of Police,"car gone, smartphone theft, ransacked, purse snatching, stealing, catalytic converter theft",Medium
Fraud,Head of Financial Crimes Unit,"unauthorized purchase, card got charged, investment fraud",Medium
Assault,Commissioner of Law Enforcement,"acting aggressive, brutal attack, domestic violence",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber terrorism, cyber blackmail, digital theft, cyber security breach",Medium
Assault,Commissioner of Law Enforcement,"getting physical, armed assault, got attacked, getting threatening, weapon assault, acting aggressive",Low
Cybercrime,Head of Cyber Crime Bureau,"online stalking, data theft, keylogger, phone hacked",Low
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, credential theft, cyber extortion, malware, suspicious login",Critical
Fraud,Head of Financial Crimes Unit,"fake website, money transfer scam, unauthorized purchase, identity theft, romance scam",Low
Fraud,Head of Financial Crimes Unit,"wire fraud, check fraud, corporate fraud, identity theft, investment scam, fraud",High
Fraud,Head of Financial Crimes Unit,"social security fraud, fake email, took my money, payment fraud",Low
Cybercrime,Head of Cyber Crime Bureau,"keylogger, cyber security breach, online harassment, online harassment, online impersonation, cyber stalking",Low
Assault,Commissioner of Law Enforcement,"started swinging, violent attack, physical altercation, violent confrontation, physical intimidation",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, suspicious login, tech support scam, webcam hacked, internet fraud",Low
Drug-Related Offenses,Chief of Narcotics Control,"pills for sale, opioids, drug distribution, crack house, drug money",Medium
Theft,Directorate of Police,"catalytic converter theft, lifted my wallet, break-in, made off with",Critical
Theft,Directorate of Police,"smartphone theft, pinched my, someone took my, taken from my car",High
Assault,Commissioner of Law Enforcement,"throwing things, got into a fight, attacked me, ganged up on, aggravated assault",Low
Fraud,Head of Financial Crimes Unit,"fake email, bank fraud, wire fraud",Medium
Cybercrime,Head of Cyber Crime Bureau,"botnet attack, cyber harassment, cyber stalking, account hacked, cyber terrorism, digital theft",Low
Assault,Commissioner of Law Enforcement,"attacked me, hit, road rage incident, threatened to hurt, ganged up on, attack",Low
Fraud,Head of Financial Crimes Unit,"took my money, cheating, ponzi scheme, loan fraud, identity theft, money laundering",Low
Assault,Commissioner of Law Enforcement,"school violence, violent confrontation, bar fight, knocked me down",Low
Assault,Commissioner of Law Enforcement,"weapon assault, group assault, physical threat, attacked me, pushed me around",Critical
Fraud,Head of Financial Crimes Unit,"phone scam, identity fraud, employment fraud, ponzi scheme, telemarketing fraud",Critical
Theft,Directorate of Police,"theft from vehicle, package theft, ransacked",Medium
Cybercrime,Head of Cyber Crime Bureau,"keylogger, suspicious login, pop-up scam, hacked, cyber blackmail, database breach",Critical
Fraud,Head of Financial Crimes Unit,"securities fraud, internet fraud, fake investment, suspicious charge, financial deception",Medium
Cybercrime,Head of Cyber Crime Bureau,"online threats, cyber fraud, online harassment, cyberstalking",Critical
Cybercrime,Head of Cyber Crime Bureau,"spyware, digital extortion, keylogger",Critical
Fraud,Head of Financial Crimes Unit,"tax fraud, bank fraud, medicare fraud, corporate fraud, credit card skimming, unauthorized purchase",Critical
Theft,Directorate of Police,"broke in and took, commercial burglary, jewelry theft, items missing, pinched my",High
Theft,Directorate of Police,"ransacked, ran off with, went missing from",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug money, crack cocaine, weird smell, street drugs, narcotic sales, needles found",Critical
Fraud,Head of Financial Crimes Unit,"fake currency, loan fraud, financial deception",Medium
Assault,Commissioner of Law Enforcement,"knocked me down, picked a fight, beat me up, getting threatening",Medium
Theft,Directorate of Police,"emptied my, residential burglary, retail theft, snatched",Low
Theft,Directorate of Police,"petty theft, property theft, broke in and took, jewelry theft, ran off with",High
Cybercrime,Head of Cyber Crime Bureau,"fake website, social media scam, data leak, computer virus",Low
Theft,Directorate of Police,"auto theft, pinched my, catalytic converter theft",Medium
Assault,Commissioner of Law Enforcement,"hit, ganged up on, assault with weapon",Medium
Cybercrime,Head of Cyber Crime Bureau,"ransomware, password stolen, digital theft",High
Assault,Commissioner of Law Enforcement,"brutal attack, shoved me, brawl, pushed me around, domestic violence",Low
Cybercrime,Head of Cyber Crime Bureau,"keylogger, hacking incident, digital extortion, crypto scam, weird emails, cyber security breach",Critical
Drug-Related Offenses,Chief of Narcotics Control,"suspicious visitors, drug sale, weird smell, cocaine",Low
Assault,Commissioner of Law Enforcement,"threw punches, got beaten, ganged up on, getting violent, physical altercation, assault and battery",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber terrorism, data leak, cyber attack, cyber stalking",Critical
Fraud,Head of Financial Crimes Unit,"money disappeared, ripped off, counterfeit, ponzi scheme, tax fraud",Critical
Fraud,Head of Financial Crimes Unit,"fraud, unauthorized purchase, telemarketing fraud, medicare fraud",High
Assault,Commissioner of Law Enforcement,"street fight, bar fight, jumped me, got into a fight",Critical
Drug-Related Offenses,Chief of Narcotics Control,"crack cocaine, drug activity, drug meetup, fentanyl, drug drops, narcotic sales",High
Theft,Directorate of Police,"looted, went missing from, jewelry theft, took everything",Medium
Fraud,Head of Financial Crimes Unit,"money transfer scam, ponzi scheme, investment fraud, bank fraud, internet fraud",Medium
Assault,Commissioner of Law Enforcement,"picked a fight, acting aggressive, street fight, ganged up on, attack",High
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, drug cartel, substance abuse, drug distribution, drug activity",Low
Fraud,Head of Financial Crimes Unit,"forgery, internet fraud, check fraud, fake investment, investment scam",Medium
Fraud,Head of Financial Crimes Unit,"fraud, fake company, suspicious call",High
Theft,Directorate of Police,"copper wire theft, stole from me, retail theft, went missing from, stolen property",Low
Cybercrime,Head of Cyber Crime Bureau,"suspicious activity online, cyber threat, weird emails",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber blackmail, email hacked, bitcoin scam, cyber attack, strange messages, breach",Critical
Assault,Commissioner of Law Enforcement,"battery, physical abuse, street fight, pushed me around",Critical
Cybercrime,Head of Cyber Crime Bureau,"data theft, crypto scam, cyber threat, pop-up scam, strange messages",High
Assault,Commissioner of Law Enforcement,"physical abuse, road rage incident, violence, battery, attacked me, physical injury",Medium
Fraud,Head of Financial Crimes Unit,"fake check, identity fraud, fake investment, fraudulent documents, telemarketing fraud",Critical
Fraud,Head of Financial Crimes Unit,"took my money, embezzlement, welfare fraud, real estate fraud",Low
Fraud,Head of Financial Crimes Unit,"tax fraud, bank scam, got scammed",Medium
Fraud,Head of Financial Crimes Unit,"fraudulent documents, fake investment, false promises",Critical
Assault,Commissioner of Law Enforcement,"attack, physical threat, aggressive behavior, weapon assault, getting in my face, school violence",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug overdose, drug addiction, lots of traffic, cocaine, drug dealing, drug distribution",Low
Theft,Directorate of Police,"looted, residential burglary, pinched my, break-in, missing from my porch, catalytic converter theft",Medium
Assault,Commissioner of Law Enforcement,"physical intimidation, workplace violence, battery, getting violent",High
Cybercrime,Head of Cyber Crime Bureau,"credential theft, hacked, account hacked, webcam hacked, malware, strange messages",Medium
Theft,Directorate of Police,"storage unit theft, petty theft, vehicle break-in",Low
Fraud,Head of Financial Crimes Unit,"fake investment, false promises, inheritance scam, insurance fraud, investment scam",Medium
Assault,Commissioner of Law Enforcement,"came at me, threatening, ganged up on, assault and battery, getting physical",Medium
Fraud,Head of Financial Crimes Unit,"investment fraud, suspicious call, credit card skimming, suspicious charge, money disappeared",Low
Drug-Related Offenses,Chief of Narcotics Control,"heroin, crack cocaine, drug sale",Low
Fraud,Head of Financial Crimes Unit,"employment fraud, bank scam, mail fraud, payment fraud, embezzlement, credit fraud",High
Cybercrime,Head of Cyber Crime Bureau,"fake profile, cyber bullying, online harassment, network intrusion, ransomware",High
Cybercrime,Head of Cyber Crime Bureau,"email scam, online harassment, spam emails, internet scam",Medium
Assault,Commissioner of Law Enforcement,"assault with weapon, group assault, came at me, unprovoked attack, attack",High
Cybercrime,Head of Cyber Crime Bureau,"botnet attack, social media scam, online scam, cyberstalking, email hacked",Medium
Theft,Directorate of Police,"vehicle break-in, nicked my, taken from my car",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug dealing, suspicious visitors, opioids, drug money, dealing drugs",Low
Fraud,Head of Financial Crimes Unit,"payment fraud, counterfeit, investment fraud, fake currency, false promises, suspicious charge",High
Theft,Directorate of Police,"snatched, smartphone theft, grabbed my, vehicle break-in, purse snatching, stolen from my yard",Critical
Theft,Directorate of Police,"lifted my wallet, took my stuff, pinched my, residential burglary, auto theft",Low
Assault,Commissioner of Law Enforcement,"hit, physical harassment, jumped me, aggravated assault",Low
Cybercrime,Head of Cyber Crime Bureau,"data theft, phishing, computer infected, bitcoin scam, computer virus",High
Drug-Related Offenses,Chief of Narcotics Control,"pharmaceutical theft, drug activity, psychedelic drugs, pills for sale, drug meetup, heroin",Low
Theft,Directorate of Police,"residential burglary, disappeared with, break-in, property theft",Medium
Assault,Commissioner of Law Enforcement,"physical intimidation, knocked me down, assault with weapon, violent confrontation",Critical
Drug-Related Offenses,Chief of Narcotics Control,"heroin, trafficking, pharmaceutical theft",Low
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, digital extortion, social media hack, spam emails",Medium
Theft,Directorate of Police,"stolen package, petty theft, emptied my",Critical
Assault,Commissioner of Law Enforcement,"bodily harm, weapon assault, physical altercation",High
Fraud,Head of Financial Crimes Unit,"loan fraud, advance fee fraud, corporate fraud, money transfer scam, medicare fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber extortion, strange messages, cryptocurrency scam, denial of service, digital theft",Low
Theft,Directorate of Police,"ran off with, break-in, stolen from my yard, auto theft",Medium
Drug-Related Offenses,Chief of Narcotics Control,"heroin, trafficking, drugs, drug money, drug cultivation",Low
Assault,Commissioner of Law Enforcement,"brutal attack, acting aggressive, getting in my face, started swinging, violent outburst",Medium
Cybercrime,Head of Cyber Crime Bureau,"online harassment, computer infected, cyber attack",Low
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, drug overdose, dealing drugs, controlled substances",Critical
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, trojan horse, pop-up scam, online scam, email hacked, email scam",Low
Theft,Directorate of Police,"car theft, cash stolen, stole from me, retail theft, missing",High
Theft,Directorate of Police,"porch pirate, theft from vehicle, stolen property, took my stuff, residential burglary",Medium
Fraud,Head of Financial Crimes Unit,"credit card skimming, medicare fraud, investment scam",High
Drug-Related Offenses,Chief of Narcotics Control,"weird smell, crystal meth, possession, suspicious transactions",Low
Theft,Directorate of Police,"made off with, broke into my house, porch pirate, pinched my, commercial burglary",Low
Cybercrime,Head of Cyber Crime Bureau,"online harassment, internet scam, tech support scam, denial of service, ransomware, pop-up scam",Medium
Fraud,Head of Financial Crimes Unit,"corporate fraud, fake currency, too good to be true",Low
Drug-Related Offenses,Chief of Narcotics Control,"controlled substances, synthetic drugs, people coming and going",Critical
